job_title,company,salary,address,experience,due_date,jd
Thực Tập Sinh,Công ty cổ phần chứng khoán FPT,Thoả thuận,Hà Nội,Không yêu cầu kinh nghiệm,16/09/2023,"Phân tích yêu cầu, thiết kế tính năng trong các dự án phát triển ứng dụng. Phát triển ứng dụng di động đa nền tảng. Tối ưu ứng dụng."
Project Manager,Công ty TNHH Hệ thống Thông Tin FPT,Thoả thuận,Hà Nội,3 năm,30/09/2023,"- Lập kế hoạch, quản lý giám sát và thực hiện kế hoạch dự án đã thống nhất.- Xác định và quản lý các mục tiêu, phạm vi, các sản phẩm bàn giao và các rủi ro của dự án.- Theo dõi bàn giao sản phẩm dự án cho khách hàng theo đúng tiến độ.- Xử lý các vấn đề phát sinh liên quan, điều chỉnh tiến độ dự án, ban hành thông báo, kế hoạch triển khai chi tiết, cầu nối giữa Nhà tư vấn triển khai với các thành viên tham gia theo chức năng nhiệm vụ của Ban dự án hai bên.- Báo cáo tình trạng dự án với Ban chỉ đạo dự án.- Xác nhận công việc với khách hàng theo giai đoạn.- Kiểm soát nguồn lực tham gia dự án, doanh số và chi phí của dự án theo yêu cầu của công ty."
Lập Trình Viên,Nissho Electronics Việt Nam,Tới 18 triệu,Hà Nội,Dưới 1 năm,14/09/2023,"- Tham gia vào các dự án outsoucing về phát triển, triển khai hệ thống phần mềm, ứng dụng cho các tập đoàn lớn của Nhật như Sojitz, Nissho Japan có quy mô đến 10K nhân viên và các khách hàng Nhật Bản khác (Domain tài chính ngân hàng, quản trị doanh nghiệp)- Phụ trách thiết kế chi tiết, lập trình, unit test, xử lý lỗi của chương trình sử dụng các ngôn ngữ lập trình đa dạng (Java, .NET, Golang, Reactjs-Typescript,…) theo yêu cầu công việc.- Có cơ hội tham gia đa dạng các loại hình dự án (outsource/product) và tiếp xúc nhiều loại công nghệ khác nhau giúp tăng năng lực kỹ thuật để có thể lên các level cao hơn- Các công việc khác được giao bởi PM."
Tester,Công ty Cổ phần Công nghệ KiotViet,15 - 30 triệu,Hà Nội,2 năm,13/09/2023,"Về KiotViet:         Sản phẩm công nghệ của KiotViet được nghiên cứu và sáng tạo tại Việt Nam, bởi kỹ sư phần mềm Việt, dựa vào đóng góp từ hàng trăm nghìn chủ doanh nghiệp, với sứ mệnh mang lại giá trị cho cộng đồng kinh doanh lớn nhỏ trên khắp mọi miền tổ quốc và các quốc gia đang trên đà phát triển hưng thịnh. KiotViet cam kết đồng hành cùng cộng đồng kinh doanh vừa, nhỏ và siêu nhỏ.       Với 10 năm và hơn 1,500 con người để tạo nên một KiotViet của ngày hôm nay, chúng tôi hiểu rằng các thành viên, từ quá khứ tới tương lai, là nền tảng cho KiotViet của ngày hôm nay và bệ phóng để vươn tới một Citigo của ngày mai. KiotViet cam kết một môi trường làm việc chia sẻ thành công, cùng chung trách nhiệm.Bạn sẽ làm gì:- Tốt nghiệp cao đẳng, đại học; ưu tiên tốt nghiệp chuyên ngành CNTT, hoặc chuyên ngành liên quan;- Có kiến thức về phương thức API và sử dụng các công cụ để giao tiếp như Postman, Jmeter, SoapUI, - Sử dụng thành thạo được 1 Automation testing tool (Selenium Webdriver, RobotFramework, ...).- Nắm được các tool quản lý source code: GitHub, GitLab, Launchpad.-  Có kinh nghiệm về HTML, CSS, Xpath, Python, Javascript, - Có kiến thức về các công cụ làm việc theo CI/CD- Có kiến thức về web server và web services- Có kinh nghiệm về automation testing từ 1 năm trở lên- Sẵn sàng nghiên cứu học hỏi kiến thức, công nghệ mới phục vụ cho dự án.- Khả năng tư duy logic tốt, nhiệt tình, cẩn thận, tỉ mỉ, có trách nhiệm với chất lượng của sản phẩm.- Có khả năng làm việc nhóm, luôn sẵn sàng hỗ trợ các thành viên khác trong dự án.- Ưu tiên có kinh nghiệm lập trình- Ưu tiên tiếng anh tốt"
Video Editor,Công Ty Cổ Phần Funius,10 - 15 triệu,Hà Nội,1 năm,16/09/2023,"Sản xuất video quảng cáo game trên nền tảng online Đề xuất ý tưởng, phối hợp cùng team marketing để lên kịch bản video phù hợp Chịu trách nhiệm chính cho các sản phẩm truyền thông dạng video cho các dự án của công ty (internal và external)"
Lập Trình Viên PHP,CÔNG TY TNHH HYBRID TECHNOLOGIES VIỆT NAM,"Tới 1,500 USD",Hà Nội,2 năm,17/09/2023,"Phát triển ứng dụng hệ thống hóa đơn Customize tính năng mới cho hệ thống liên quan tới hóa đơn, thanh toán Nghiên cứu và tìm hiểu hệ thống theo tiêu chuẩn hệ thống khách hàng"
Nhân Viên Lập Trình Phần Mềm - Thu Nhập Từ 10 - 20 Triệu,Công ty TNHH Đầu Tư Công Nghệ ST,10 - 20 triệu,Hồ Chí Minh,1 năm,31/10/2023,"- Tiếp nhận sản phẩm phần mềm từ bộ phận lập trình bàn giao- Test sản phẩm phần mềm trước khi cài đặt cho khách hàng.- Support khách hàng sau triển khai (online/ onsite).- Thực hiện phát triển phần mềm trên môi trường web.- Quản lý Server, xử lý các lỗi phát sinh, tối ưu chức năng các phần mềm hiện tại của công ty.- Nghiên cứu, xây dựng các công nghệ áp dụng cho sản xuất phần mềm.- Lên kế hoạch và thực thi các công việc được giao.- Thực hiện các công việc khác theo yêu cầu của quản lý trực tiếp…"
Tiếng Nhật,CÔNG TY TNHH MONSTARLAB VIỆT NAM,Thoả thuận,Hà Nội,Không yêu cầu kinh nghiệm,30/09/2023,"• Tham gia các khóa học đào tạo nâng cao kỹ năng tiếng nhật. • Tham gia các khóa học đào tạo các kỹ năng mềm trong xử lý công việc, các cách thức thực hiện công việc trong môi trường làm việc chuyên nghiệp với các kỹ sư và quản lý người Nhật Bản. • Sau quá trình đào tạo, những bạn sinh viên đủ tiêu chuẩn sẽ được phân công vào các dự án và có cơ hội lớn trở thành nhân viên chính thức hoặc part-time của công ty."
Kỹ Sư Vi Mạch (Lsi Engineer) - Lương Lên Đến $2500,"Toshiba Software Development (Vietnam) Co., Ltd.",Tới 55 triệu,Hà Nội,1 năm,30/09/2023,"Làm việc với tư cách là Kỹ sư trong Thiết kế và Xác minh Hệ thống LSI (LSI Design & Verification): chịu trách nhiệm thiết kế và xác minh các mạch và hệ thống tích hợp phức tạp, đảm bảo chức năng, độ tin cậy và hiệu suất của chúng. Phát triển và triển khai các thông số kỹ thuật kiến trúc cho các mạch tích hợp quy mô lớn, sử dụng các phương pháp và công cụ thiết kế mới nhất. Lập kế hoạch và thực hiện các chiến lược xác minh toàn diện, bao gồm mô phỏng, xác minh chính thức. Viết và gỡ lỗi băng ghế thử nghiệm, trường hợp thử nghiệm và trình tự thử nghiệm để xác thực chức năng của các mạch tích hợp. Tiến hành kiểm tra chức năng và hiệu suất của các thiết kế LSI, xác định và giải quyết các lỗi và sự khác biệt. Cam kết tuân thủ quy trình trong công việc được giao Đảm bảo các nguyên tắc bảo mật TSDV và bảo vệ bản quyền của tập đoàn Toshiba."
Business Analyst,CÔNG TY TNHH GIANTY VIỆT NAM,Thoả thuận,Hồ Chí Minh,2 năm,31/10/2023,"Collaborate with cross-functional teams, including product owner, business team, developers, designers, and marketing, to gather and understand business requirements for the e-commerce application focused on baby and mother products Plan and prioritize product feature backlog and development for the product Create detailed documentation, including user stories, use cases, and functional specifications Collaborate with the development team to define acceptance criteria and validate that delivered features meet the specified requirements Follow and manage user acceptance testing (UAT) to ensure the application's functionality meets business requirements and user expectations Utilize data-driven insights to recommend and prioritize features, enhancements, and improvements that align with business goals and user needs Conduct in-depth market research and analysis to identify trends, and customer preference. Also stay updated on industry best practices, e-commerce trends"
Senior Fullstack (English Fluent),Công ty CP Phần mềm MOR,"Tới 3,000 USD",Hà Nội,4 năm,30/08/2023,"Tham gia phân tích requirement, thiết kế hệ thống; Nghiên cứu và áp dụng các công nghệ mới.Tham gia vào các dự án outsource với nhiều đối tác lớn cũng như phát triển sản phẩm công ty.Tham gia vào quy trình làm việc chuẩn với các khách hàng từ các thị trường hàng đầu, qua đó nâng cao khả năng bản thânCải tiến, nâng cao chất lượng các dự án hiện có."
Tester,FPT Software,Thoả thuận,Hà Nội,3 năm,30/08/2023,"Job Brief/ Project Description/ Job Overview• FPT Software is looking for talented candidates to join the digital transformation of the largest general insurance company in Australia and New Zealand, offering a unique opportunity for professionals to shape the future of technology in the finance and insurance industry including promotion to leadership roles.• Join us on this new exciting journey and be part of a world class team that creates a lasting impact while nurturing your professional growth. Responsibilities/ Daily tasks you will take care:• Collaborate with stakeholders to understand data product requirements and translate them into test cases and scenarios• Develop and execute test plans, test cases, and test scripts to ensure the quality and functionality of data products• Identify, analyze, and report defects and issues found during testing, and work closely with the development team to resolve them• Conduct thorough regression testing to ensure the stability and performance of data products after enhancements or changes• Collaborate with cross-functional teams to ensure smooth integration and interoperability of data products with existing systems• Participate in the review and refinement of business requirements, ensuring testability and alignment with project goals• Contribute to the continuous improvement of testing processes and methodologies, including automation and efficiency enhancements• Document test results, create test reports, and provide recommendations for product enhancements or improvements• Collaborate with stakeholders to define acceptance criteria and perform user acceptance testing (UAT) when required• Stay updated with industry trends, tools, and techniques related to data testing and quality assurance"
Thực Tập Sinh,Tập Đoàn Novaon,Trên 2 triệu,Hà Nội,Không yêu cầu kinh nghiệm,09/09/2023,Công việc Q3/2023:- Tham gia nghiên cứu các gói sản phẩm IT Outsource.- Phát triển tài liệu và mở rộng mối quan hệ với IT Vendor để hợp tác xây dựng các gói sản phẩm IT Outsource. - Hỗ trợ xây dựng và vận hành luồng quản lý/ triển khai dự án IT Outsource giữa Đại lý Sales nước ngoài và IT Vendor.Công việc Q4/2023 trở đi:- Hỗ trợ công việc sales & marketing dịch vụ IT Outsource tới thị trường nước ngoài.- Hỗ trợ xây dựng và vận hành luồng quản lý/ triển khai dự án IT Outsource giữa Đại lý Sales nước ngoài và IT Vendor.
Tester,CÔNG TY TNHH KỸ SƯ CÔNG NGHỆ CAO VN,Thoả thuận,Cần Thơ,1 năm,15/09/2023,"Tham gia kiểm thử các dự án của công ty với vai trò QA/QC    ""Thiết kế, phát triển và thực hiện các kịch bản kiểm thử""Sử dụng các công cụ và phương pháp kiểm thử phù hợp để đánh giá chất lượng sản phẩm.    Phối hợp với các nhóm phát triển để hiểu rõ yêu cầu và thông số kỹ thuật của sản phẩm.    Ghi chép và báo cáo tất cả các lỗi và sự cố tìm thấy trong quá trình kiểm thử.    Đề xuất các giải pháp để giải quyết hoặc khắc phục lỗi."
Game Developer,Winter Wolf - IEC Games,Tới 30 triệu,Hà Nội,1 năm,15/09/2023,"- Sử dụng Unity để phát triển Mobile Game, phát hành trên Google Play và App Store. - Tham gia vào quá trình phát triển game từ lúc xây dựng ý tưởng. - Tìm hiểu các công nghệ mới, kỹ thuật mới để đáp ứng nhu cầu công việc."
Nhân Viên Triển Khai ERP,Công Ty TNHH GT Line Á Châu,Trên 25 triệu,Bà Rịa-Vũng Tàu,5 năm,23/09/2023,"- Responsibility for deploying ERP software (Symphony, Galileo, Nav) & Optimizing ERP system productivity. - Overseeing, evaluating, and driving improvement of our ERP system which includes production management, warehouse management, shipment management, purchasing management & accounting management. - Other tasks will be discussed since interview."
Android,CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ MIGI,10 - 25 triệu,Hà Nội,1 năm,31/10/2023,"Tham gia phân tích, thiết kế, và cải tiến chức năng cho các sản phẩm dịch vụ của công ty và khách hàng; Phối hợp làm việc với team để nâng cao chất lượng công việc, đưa ra ý tưởng cải tiến sản phẩm; Nghiên cứu, tìm hiểu các công nghệ mới, giúp đỡ các team members để hoàn thành tiến độ công việc; Onsite làm việc với khách hàng khi có yêu cầu dự án; Tham gia vào các hoạt động và chương trình training của Công ty; Thực hiện Nội quy Công ty;"
Lập Trình Website,CÔNG TY CỔ PHẦN MẮT BÃO WS,12 - 15 triệu,Hồ Chí Minh,1 năm,15/09/2023,• Xây dựng website trên nền tảng CMS WordPress.• Xây dựng plugin hoặc điều chỉnh tính năng trên WordPress.• Hỗ trợ kỹ thuật website.• Tham gia xây dựng các dự án website theo mô tả và phân công của quản lý trực tiếp.• Chi tiết công việc sẽ được trao đổi trực tiếp khi phỏng vấn.
Devops,CÔNG TY CỔ PHẦN TRƯỜNG HỌC CÔNG NGHỆ MINDX,"Trên 1,700 USD",Hà Nội,2 năm,31/08/2023,"Responsible for the tech infrastructure of the team, including:Monitor performance and maintain systems according to requirementsTroubleshoot issues and outagesEnsure security through access controls, backups and firewallsUpgrade or reconfigure systems to meet stability and/or scalability requirementsBuild an internal wiki with technical documentation, manuals and IT policiesCI/CDCollaborate with Software Engineering members to build and maintain CI/CD PipelinesDevelopment support:Help software engineering troubleshoot software defects, performance issues and other problems in production environmentCollaborate with Software Engineering team to automate standards and policy checkup"
System Admin,"ICOMM TECH.,JSC",Tới 40 triệu,Hà Nội,1 năm,06/09/2023,- Xây dựng và maintain các chu trình CI/CD đối với các dự án của công ty.- Maintain hệ thống cơ sở hạ tầng đang chạy các sản phẩm của công ty.- Maintain hệ thống cơ sở hạ tầng môi trường phát triển sản phẩm.- Monitor và tối ưu hóa hiệu năng hệ thống.- Thiết kế và triển khai cơ sở hạ tầng cho các sản phẩm mới.
Business Analyst,FPT Software,Thoả thuận,Hồ Chí Minh,3 năm,23/09/2023,"• Analyze the requirements from customers’ material/transfer from senior BA in business view.• Document functional and business requirements documents: create wireframes, user stories, activity diagrams and use cases.• Communicate with customers to clarify business and support if there is any change requirements from customer.• Communicate with development team to ensure correct requirement understanding during implementation.• Support development team to communicate with the customers regarding implementation QA/Issue.• Compose related documents, such as: Requirement Traceability, User Manual, UAT Training… Responsibilities/ Daily tasks you will take care:• Define requirement approach for each project.• Plan for requirement phase at the beginning of the project.• Assign tasks and manage teams to make sure that the project runs smoothly• Conduct requirement elicitation workshop.• Analyze business flow and user requirement.• Document the client’s business requirements in detail.• Participate in peer reviews and inspections of requirements documents.• Prepare training material for team members"
Tester,Công ty trách nhiệm hữu hạn Reviewty,10 - 13 triệu,Hà Nội,Dưới 1 năm,15/09/2023,"● Research, analysis of required documents, design ● Design and write test cases, checklists ● Perform testing, detect bugs, log bugs, manage bugs on Jira, Collaborate with developers to fix bugs ● Perform acceptance of new features and guide users ● Report the work as prescribed by the project to the management"
IT Helpdesk,CÔNG TY TNHH BUYMED,Tới 18 triệu,Hồ Chí Minh,2 năm,23/09/2023,"Collaborating with the IT Manager to identify and prioritize technical issues and provide timely solutions. Setting up and configuring MacBook and Windows laptops, as well as apps and software. Creating and managing user accounts in Microsoft 365, and other similar platforms. Providing prompt technical support and troubleshooting to users across all branches. Managing network infrastructure, including monitoring network performance, identifying, and resolving network issues, ensuring network security, and managing devices such as routers, Servers, WiFi systems, printers, PC, and other related devices. Other tasks assigned by IT Manager."
Kỹ Sư Cầu Nối,CÔNG TY TNHH MONSTARLAB VIỆT NAM,Tới 57 triệu,Hà Nội,1 năm,02/09/2023,"• Kỹ sư cầu nối trao đổi giữa đội phát triển với khách hàng Nhật • Trao đổi trực tiếp với khách hàng qua email, chat (Skype, Chatwork, Google Talk, …) hoặc voice chat/meeting trực tiếp. • Có thể tham gia vào công việc quản lý dự án và báo cáo dự án với khách hàng • Có thể tham gia tìm hiểu specification và trao đổi với đội phát triển • Tham gia vào việc phát triển các dự án về web-based application (PHP, Ruby, Java, .ASP.NET), desktop application (Java, .NET), smartphone ( iOS, Android, Xamarin) và game (Unity, Cocos2d-x, HTML5/JS Frameworks)"
Senior Outsystem Engineer,FPT Software,Thoả thuận,Hồ Chí Minh,2 năm,14/09/2023,• Understanding of full stack development.• Experience in development using OutSystems• Understanding of Rapid Application Development (RAD) best practices and implementation.• Provide expert level assistance to our client using the OutSystems platform• Ability to pay attention to details and be well organized.• Ability to do basic data modeling and enforce proper referential integrity constraints.
Lập Trình Viên,Công ty Phát triển phần mềm VNPT-Media – CN Tổng Công ty Truyền thông,Trên 20 triệu,"Hà Nội, Hồ Chí Minh",1 năm,20/10/2023,"- Tổ chức làm sạch dữ liệu, gán nhãn, tự động hóa gán nhãn dữ liệu - Xây dựng những Model AI/Machine learning trong lĩnh vực dữ liệu, Computer vision, NLP, Speech to text. - Nghiên cứu và triển khai các bài toán NLP trong đánh giá cảm xúc, phân tích ngữ nghĩa, từ khóa, trend, tóm tắt văn bản. - Thiết kế, xây dựng model, training cho các bài toán NLP, tùy chỉnh (customize) cho các Pre-train model - Các nhiệm vụ khác theo chỉ đạo của Ban Lãnh đạo và Trưởng Bộ phận."
PHP Developer,Công ty TNHH Công Nghệ CFOX,20 - 25 triệu,Hồ Chí Minh,2 năm,08/09/2023,"Lập trình và phát triển ứng dụng web, sản phẩm phần mềm trên nền tảng PHP. Nghiên cứu, phát triển và ứng dụng các công nghệ mã nguồn mở vào trong dự án. Kết hợp với các bộ phận liên quan (Kiểm thử, hệ thống…) trong quá trình phát triển dự án. Thực hiện các công việc và báo cáo theo yêu cầu của cấp quản lý. Tham gia vào toàn bộ quá trình phát triển sản phẩm phần mềm, thiết kế website, phát triển API cho ứng dụng. Xử lý xuyên suốt quá trình phát triển sản phẩm, dự đoán và sửa chữa các vấn đề gặp phải. Quản trị hiệu năng, kiểm tra và review code, đóng góp cho sự cải thiện của hệ thống kỹ thuật. Tích cực đóng góp những kinh nghiệm, ý tưởng cũng như giải pháp tốt nhất cho việc phát triển dự án. Ngôn ngữ lập trình: PHP (Framework sử dụng: Laravel, Code Igniter), css, javascript (jquery), bootstrap"
QC Manual Test,Công ty CP ITR VN,600 - 900 USD,Hồ Chí Minh,2 năm,06/09/2023,Analyze software/product requirements to develop test cases. Execute test cases and regression tests for software/product releases. Report defects and manage defects on issue management software. Document information related to quality control processes.
Tester,Công ty Cổ phần đầu tư Công Nghệ và Thương Mại Softdreams,10 - 15 triệu,Hà Nội,1 năm,30/09/2023,"Nghiên cứu, thu thập thông tin thị trường liên quan đến phần mềm quản lý bán hàng Khảo sát, đánh giá, ghi nhận các yêu cầu từ người dùng và các bộ phận liên quan để thiết kế chức năng cho dịch vụ phần mềm. Làm việc với bộ phận Thiết kế đồ họa, Kỹ thuật, Kiểm định chất lượng và các bộ phận liên quan để xây dựng các tài liệu trong quá trình thiết kế. Tham gia kiểm thử trong quá trình phát triển ứng dụng, đảm bảo tiến độ dự án Tham gia vào quá trình triển khai, đào tạo các tính năng đã xây dựng. Theo dõi, trao đổi nhận phản hồi từ khách hàng về dịch vụ phần mềm."
Developer,CÔNG TY TNHH SAMSUNG SDS VIỆT NAM,Thoả thuận,Hà Nội,3 năm,10/09/2023,"Designing and coding efficient and reliable C/C++ code for new features Maintenance of existing features (defect analysis and improvement) Developing unit test code to identify malfunction Writing test case for features and performing developer's test including code inspection check, vulnerability check, license check Communicating with HQ to understand needs and experiences"
Java,CODE88 Company Limited,Thoả thuận,Hồ Chí Minh,5 năm,02/09/2023,"Job Purpose: • To design test cases, develop and execute automation test scripts using Selenium • Report the test execution result to ensure the Product meets business needs and quality standards. Responsibilities:  1. Be responsible for software quality assurance and testing in all testing environments as well as the Production environment 2. Analyze business requirements and actively involved in discussions with other teams to ensure proper understanding of business requirements as well as accurate test-cases writeup 3. Design test cases and analyze which test cases can do automation testing, develop and execute automation script to cover test cases 4. Review manual test cases and provide feedback on suitability for automation to the project team 5. Write issues/bug reports on each case with detailed information   6. Ensure that the given test cases are executed efficiently, accurately, and completed promptly 7. Update test execution status and investigate problems in software as a result of testing 8. Highlight critical issue(s) early to team leaders and managers 9. Maintain automation scripts when applying changes to the system 10. Support manual testing if the team leader/manager requires  11. Work closely with various teams to ensure timely delivery for both testing and requirement analysis 12. Provide mentoring/training where necessary"
Technical Leader (Sap Abap),Công ty TNHH Hệ thống Thông Tin FPT,Thoả thuận,Hà Nội,3 năm,30/11/2023,"Tiếp nhận, phân tích yêu cầu nghiệp vụ từ nhân viên tư vấn nghiệp vụ và khách hàngHỗ trợ giải pháp cho các yêu cầu chức năng cũng như kỹ thuật;Tư vấn và thiết kế giải pháp kỹ thuật phù hợp với yêu cầu khách hàng và xu hướng công nghệ.Customize báo cáo/form nhập liệu theo yêu cầu của người dùng;Hỗ trợ triển khai hệ thống SAP/Oracle của chủ đầu tư với vai trò kỹ thuật dự án;Tham gia các dự án của công ty ở vai trò Technical ConsultantThực hiện các công việc trong dự án theo phân bổ của Quản lý dự án và Trưởng phòng kỹ thuật.Quản lý và phát triển team kỹ thuật theo định hướng của đơn vị.Tuân thủ chặt chẽ các quy trình phát triển sản phẩm chuyên nghiệp"
Business Analyst,CÔNG TY TNHH MTV AUSTRAX TECHNOLOGIES VIETNAM,25 - 40 triệu,Hồ Chí Minh,5 năm,31/08/2023,"Our company is seeking a full time Business Analyst to join a fast paced and agile development team. This is a junior to mid level position and would be ideally suited to a person with some experience in performing business analysis role for web and mobile applications. Description of Tasks: • Identify and analyse any gaps in data and report on these areas using simplified language • Identify, investigate and analyse business and stakeholder requirements • Aligning the business needs to the project vision • Engage with the business and some stakeholder management • Facilitate workshops with business and project stakeholders • Participate in the documentation, analysis and validation of business processes, systems, and solution requirements • Documenting and mapping end-to-end processes • Collaborating with the Agile/Scrum teams to continuously deliver software • Consult with stakeholders and systems requirements when documentation is insufficient • Determine test conditions/ test objectives • Create comprehensive test cases relevant to test conditions • Managing software defects through to resolution • Raise and close defects when necessary • Work closely with Team Leads and stakeholders to capture business requirements, articulate it into high level design spec and work closely with developers through to testing completion. • Work as an effective team member; share knowledge and information with the team and assist others in meeting team priorities • Strong attention to detail, analytical and conceptual thinker • A flexible and respectful approach in liaising with colleagues • An ability to relate to people at all levels • ""Trainable"" with the ability to quickly learn different types of technologies • Enthusiastic, ""can do"" attitude! • Always striving to develop both personally and professionally"
Trợ Lý,Go Solutions,Trên 10 triệu,Hà Nội,1 năm,30/09/2023,"- Chuẩn bị các hồ sơ giấy tờ đấu thầu online/offline - Quản lý toàn bộ quá trình ký hợp đồng -> nghiệm thu, hồ sơ dự án, - Tư vấn các dự án cho khách hàng"
Lập Trình Viên .Net,Công ty Cổ phần đầu tư Công Nghệ và Thương Mại Softdreams,8 - 15 triệu,Hà Nội,Dưới 1 năm,31/08/2023,"Xây dựng các ứng dụng cho khách hàng Doanh nghiệp. Đây là các mảng dịch vụ (product) đã có của công ty với hơn 100.000 khách hàng đang sử dụng. Tham gia nghiên cứu, phát triển các ứng dụng, hệ thống dựa trên công nghệ Bigdata. Tham gia trong nhiều khâu sản xuất dịch vụ: phân tích, phát triển, triển khai. Tham gia phát triển trong nhiều thành phần ở kiến trúc tổng thể của hệ thống phần mềm ( Frontend/ Backend/ Services). Được đào tạo để có thể tham gia các dự án với các Framework: NetCore, NetMVC, Blazor, Angular Phát triển phần mềm theo mô hình Agile/Scrum"
Developer,FPT Software,Thoả thuận,"Hồ Chí Minh, Nước Ngoài",3 năm,07/09/2023,"Job Brief/ Project Description/ Job Overview• We are looking for a SharePoint Developer to join our software team developing advanced software components for Oil and Gas Client.• By joining with us, you will be part of a high performance and enthusiastic software development team in a pleasant work environment. Responsibilities/ Daily tasks you will take care:• Responsible for architecture, design, setup, configuration, development, deployment, and maintenance of SharePoint technologies.• Experience with SharePoint Dev and SharePoint Admin.• Migration to newer versions of SharePoint 2019 from SharePoint 2013 using Sharegate."
Developer,Công ty TNHH Thu phí tự động VETC,"Tới 1,800 USD",Hà Nội,3 năm,14/09/2023,- Tham gia vào phát triển sản phẩm thu phí và các sản phẩm khác của công ty. - Nghiên cứu công nghệ mới để áp dụng cho các dự án của công ty - Các thông tin cụ thể về công việc sẽ trao đổi khi phỏng vấn
Tester,Công ty TNHH CMC GLOBAL,Thoả thuận,Toàn Quốc,2 năm,19/09/2023,"Perform software testing both manual and automation Execute and evaluate manual or automated test cases to locate bugs and regressions and ensure product quality is of a high standard Design and develop test automation scripts. Use test automation guidelines. Develop, document, and maintain functional and non-functional test cases, test reports, and test plans Work closely with the development team to design testing strategies. Perform all phases of testing including functional, system and regression testing. Participate in peer review and inspect requirement documents. Prepare test data and environment as needed to complete testing assignments. Review requirements, specifications, and technical design documents. Ensure that validated deliverables meet functional and design specifications and requirements Track and control testing progress and report any quality problems/issues of the project. Propose solutions to improve the product. Keeping updated with new testing tools and test strategies"
Quản Trị Hệ Thống,Công ty TNHH Hệ thống Thông Tin FPT,Tới 27 triệu,Hà Nội,2 năm,31/10/2023,"- Vận hành và xử lý hệ thống thiết bị mạng và bảo mật, … bao gồm cả môi trường on-prem và cloud trên các nền tảng khác nhau.- Triển khai các hệ thống liên quan khi có yêu cầu- Khảo sát và tiếp nhận hệ thống trước triển khai"
Project Manager,Công Ty SmartOSC,"Tới 3,000 USD",Hà Nội,5 năm,15/09/2023,"• Lead the development team to ensure that assigned duties meet the business requirements and the company's objectives• Manage changes to the project scope, project schedule, and project costs• Build and manage a schedule to ensure work is identified, assigned and completed on time• Successfully manage the relationship with the client through clear communication patterns• Create and maintain comprehensive project documentation throughout the entire process• Perform risk management to minimize project risks• Identify, track, manage, prevent and resolve any project issues that may occur• Measure project performance using appropriate tools and techniques• Work directly with foreign customers from USA, Europe, Australia, Singapore• Involved in the recruiting, training of project staff• Report to: Division Manager • Manage team size 10-30 members at least"
IT Engineer,CÔNG TY CỔ PHẦN TRƯỜNG HỌC CÔNG NGHỆ MINDX,Tới 20 triệu,Hà Nội,2 năm,31/10/2023,IT System / Software Adoption:- Participate the discovery activity of stakeholders / users needs in IT Systems / Software- Participate in IT Systems / Software research and selection- Train users in the use of new IT Systems / Software- Troubleshoot and repair IT Systems / Software problems- Participate in the Development and Implementation of security policies and procedures Automation Tool Development:- Develop and maintain internal tools to automate the operations of the employees Internal team support:- Support the internal team in hardware and software equipment
Kỹ Sư Cầu Nối,CÔNG TY TNHH RABILOO,"1,000 - 2,500 USD",Hà Nội,2 năm,14/09/2023,"Kỹ sư cầu nối giữa đội phát triển ở Việt Nam với khách hàng Nhật Trao đổi với khách hàng trực tiếp, qua email, skype, chatwork để lấy thông tin dự án, tài liệu yêu cầu, xác nhận thông tin Quản lý tiến độ dự án, báo cáo công việc định kỳ với khách hàng và quản lý dự án"
Developer,FPT Software,Thoả thuận,Cần Thơ,3 năm,15/09/2023,"• Study, analyze & clarify projects’ requirements together with team• Breakdown task, estimate effort for task• Design/initial solution, framework for web/window application• Design, develop, unit test and deploy software application in good quality. Assure delivery of final product based on scope, requirements, schedule, etc.• Develop and maintain projects using .NET technologies such as web applications, windows services, or windows apps• Deploy the system on Azure or AWS• Resolve critical problem about technical• To co-ordinate with Resource manager, sales, onshore and client for resource staffing request• To co-ordinate with Technical Architect in project technical matter• To co-ordinate with IT/Admin department for infrastructure setup if requested: network connectivity, office space, etc.• To co-ordinate with QA group to define/tailoring software development process, guide and train team members on software development & other supporting processes utilized and ensure the strict implementation of the process in compliance with ISO 9001 & CMM standards• To co-ordinate with other project parties such as clients, QA, QC, etc. to make sure that the projects meet clients’ requirements & satisfaction• To organize a united team where all team members can communicate & contribute on assigned activities• To produce activity reports for all operations of the team (monthly, weekly & ad-hoc)"
Chuyên Viên IT,Công ty CP Bất động sản T&T Homes,18 - 28 triệu,Hà Nội,2 năm,31/08/2023,Triển khai/phát triển hệ thống phần mềm Kiểm thử và đánh giá chất lượng phần mềm Vận hành ứng dụng Hỗ trợ người dùng trong quá trình sử dụng phần mềm Các công việc khác theo phân công của quản lý
JavaScript,Công ty Cổ phần Đầu tư và Giải pháp VietIS,Tới 20 triệu,Hà Nội,1 năm,03/09/2023,"Tham gia phát triển các dự án về Web, xây dựng các chức năng front-end của Website, Web applicationTriển khai xây dựng giao diện HTML/ CSS Javascript của hệ thốngPhối hợp với Back-end Developer và Web Designer để cải thiện tính khả dụngNghiên cứu, tìm hiểu các công nghệ về HTML/ CSS Javascript mới nhất để áp dụng cải tiến sản phẩm"
