job_title,company,salary,address,experience,due_date,jd
Solution Architect,FPT Software,Thoả thuận,Hồ Chí Minh,3 năm,16/09/2023,"• Has responsibility for the architecture of software under the technical expert role in the tasks of the design, development, and technical support related to software.• Work with Client’s designers and product owners to deliver production-ready source code based upon assigned features and requirements.• Test and remediate issues found during development in accordance with accepted quality control practices.• When needed or requested, provide technical expertise and insight related to engineering and design efforts.• Provide ongoing continuous delivery enhancements as defined by the Client delivery team.• Follow engineering and user experience patterns prescribed by the Client delivery team• Lead technical engagement & collaborate with project teams on business requirement, analysis, design, development, and testing of the applications in support of business solutions.• Strong ability to analyze functional needs and drive the design for positive business outcomes; recommends solutions that are aligned with business / IT strategies and complies with corporate architectural standards• Join Business application development, lead/coach technical project team and review development solution/code• Play architecture role in re-designing critical services & performance improvements• Code re-engineering & legacy application enhancement• Maintenance and support business applications• Review code & control code quality."
UI/UX,Công ty TNHH HQSOFT,Tới 10 triệu,Hồ Chí Minh,Dưới 1 năm,22/09/2023,"- Lên ý tưởng, sáng tạo, layout và trực tiếp thiết kế giao diện UI/UX cho Web, App Mobile (Android, iOS, Mobile Version).- Phối hợp chặt chẽ với các bộ phận liên quan (Customer, Marketing, Development, QA, Product...) để xây dựng đưa ra bản thiết kế tối ưu xuyên suốt dự án.- Thực hiện các phân tích thay đổi, bổ sung thiết kế, giao diện cần thiết trong giai đoạn thực hiện- Nghiên cứu, áp dụng các xu hướng thiết kế mới/các kỹ thuật và công cụ hỗ trợ thiết kế.- Xây dựng guideline thiết kế, xuất ảnh, hỗ trợ các bộ phận khác trong dự án- Review sản phẩm sau khi hoàn thiện- Hỗ trợ các phòng ban khác về thiết kế (nếu có yêu cầu).- Thực hiện các công việc khác theo sự phân công của quản lý trực tiếp."
Unity Developer,WAYFU STUDIO,Thoả thuận,Hà Nội,2 năm,30/09/2023,"Tham gia lập trình các dự án Game mobile trên nền tảng Unity cho Android và iOS. Sửa lỗi và cải thiện tính năng, hiệu suất trò chơi. Xây dựng và triển khai kiến trúc hệ thống game (game architecture design). Phối hợp với các thành viên trong team để vận hành và tối ưu hoá sản phẩm. Phát triển các sản phẩm game trên nền tảng Unity 2D/3D Phát triển các dòng game Hybrid-Casual. Kết hợp với các bộ phận liên quan để sản xuất các game mobile chất lượng và hữu ích đến người dùng. Cùng team lên ý tưởng và giải pháp cho các tính năng mới của game"
Process QA For Hardware,CÔNG TY TNHH EARABLE VIỆT NAM,Thoả thuận,Hà Nội,1 năm,25/08/2023,"Develop and implement quality assurance processes, and methodologies to ensure consistent and high-quality hardware deliverables. Conduct reviews and audits of hardware development processes to identify areas for improvement and ensure compliance with industry standards and best practices. Collaborate with project managers, hardware engineers, and designers to define and document hardware development processes and quality requirements. Create and maintain process documentation, including standard operating procedures (SOPs), checklists, and templates. Perform regular assessments and evaluations of the hardware development process to identify bottlenecks, inefficiencies, and areas for optimization. Identify and define key performance indicators (KPIs) and metrics to measure process effectiveness and track quality improvement initiatives. Develop and deliver training programs and workshops to educate team members on hardware development processes, quality standards, and best practices. Monitor and analyze hardware development metrics, such as defect rates, yield rates, and cycle time, to identify trends and areas for improvement. Collaborate with cross-functional teams to implement process improvements, including the adoption of automation tools, testing methodologies, and quality assurance techniques. Stay updated with industry trends, emerging technologies, and advancements in hardware development processes and quality assurance practices. "
Backend Developer,FE CREDIT,Thoả thuận,Hồ Chí Minh,3 năm,02/09/2023,"Objectives: Demonstrate advanced knowledge of the PRPC Architecture and all PRPC design and implementation features. Maintain PRPC knowledge on latest versions, features, etc. Development of various PRPC components with execution of unit, integration, and user acceptance testing Follow Architectural and Development standards set by the projects LSA. Assist with planning and execution of unit, integration, and user acceptance testing. Facilitate knowledge transfer of PRPC functionality and application functionality Actively participate in the design and build phases, delivering high quality deliverables Complete work in time / effort budget; provide proactive update to project leader if timelines or effort estimate are in jeopardy. Collaborate and team with clients, partners, and Pega team; continuously focus on Customer Success"
Python,Công ty Cổ Phần Rikkeisoft,Tới 40 triệu,Hà Nội & 3 nơi khác,3 năm,30/09/2023,"Phát triển các dự án về hệ thống thương mại điện tử, bảo hiểm, quản lý tài sản, quản lý vận tải... Nghiên cứu và phát triển công nghệ mới. Làm task theo yêu cầu của dự án, của khách hàng. Phát triển các hệ thống nghiệp vụ, AI cho khách hàng Global (Malay, Úc, Mỹ, Sing,...)"
Java Developer,Công ty Cổ Phần Giải pháp Công nghệ ITE,8 - 11 triệu,Hà Nội,Dưới 1 năm,22/09/2023,"- Thiết kế, triển khai, vận hành và bảo trì các phần mềm hệ thống- Xây dựng tài liệu đặc tả kỹ thuật- Phối hợp chặt chẽ với các bộ phận khác (QA, Tech Support,...) để phát hiện và xử lý lỗi phần mềm một cách hiệu quả"
Customer Support (Shopify) - Ca Đêm Lương Upto 7 Triệu Đồng,Tigren Solutions,Tới 7 triệu,Hà Nội,Không yêu cầu kinh nghiệm,15/09/2023,"Sử dụng live chat/ email/ Tawk để trả lời các câu hỏi của khách hàng liên quan đến các sản phẩm bằng Tiếng Anh. Thời gian làm việc từ 0h00 - 4h00 hàng ngày, hình thức: Remote Xin Rating sau mỗi cuộc hội thoại với khách hàng Học và nắm rõ các về sản phẩm để giải quyết các vấn đề khi khách hàng gặp phải Tham gia training hướng dẫn công việc 1 - 2 tuần trước khi bắt đầu"
Nhân Viên Marketing,Công ty TNHH Giải Pháp Công Nghệ Long An,Thoả thuận,Long An,Dưới 1 năm,30/09/2023,"- Lên kế hoạch tiếp cận, mở rộng thị trường, quảng bá sản phẩm;- Thiết kế hình ảnh, chỉnh sửa video (các poster, banner, voucher,…);- Viết content quảng cáo sản phẩm và nội dung cho trang web công ty;- Thực hiện một số công việc khác khi có yêu cầu."
Nhân Viên IT,Công Ty TNHH MTV Phổ Đình,Trên 8 triệu,Hồ Chí Minh,Không yêu cầu kinh nghiệm,28/08/2023,"Nhập liệu Báo cáo theo yêu cầu Quản lý lịch sử và khắc phục sự cố hệ thống mạng, âm thanh, mail Quản lý và bảo quản thiết bị IT, âm thanh Kiểm tra định kỳ, thống kê dữ liệu trên các phần mềm đang sử dụng Cập nhật, nâng cấp, thay thế, triển khai công nghệ mới"
